117.3893 -277.3458 166.0307
115.62 -270.2775 199.5806
110.3514 -260.656 230.6658
101.1165 -249.5626 256.4992
88.75234 -238.9072 276.0011
72.45068 -229.8818 286.6309
53.7617 -223.2733 286.5628
35.83982 -219.4684 278.8753
19.05315 -219.3344 267.7811
3.633227 -227.5773 256.212
-10.95679 -239.1056 244.1957
-25.68583 -251.0803 230.4959
-40.48082 -262.2146 214.1527
-55.0711 -272.7009 195.1801
-70.91644 -282.9125 175.8801
-88.78179 -291.3474 156.3819
-106.5757 -296.6394 135.7387
-122.8335 -296.9179 113.3139
-136.4921 -292.8347 89.509
-146.3142 -283.1072 65.10615
-149.5835 -268.9299 43.58421
-143.2115 -250.1873 28.45849
-128.6752 -229.2556 23.21139
-108.0216 -208.472 28.92477
-80.62294 -193.0053 38.99894
-53.1427 -177.7416 55.45873
-38.96738 -163.9332 87.7791
-24.84317 -148.369 119.3595
-3.195931 -136.1413 144.5293
18.33421 -124.1223 167.607
37.02015 -116.0833 191.6741
52.77605 -106.0261 214.3291
63.51457 -89.3565 234.4384
51.88858 -66.84966 252.0848
55.02536 -40.02436 255.8632
35.0566 -10.1531 257.2145
5.764709 20.05028 253.2875
-33.04259 49.52906 238.9669
-87.56025 79.63072 212.9868
-46.53517 76.33195 233.381
-21.99418 78.2314 237.2276
1.51862 94.48746 238.2263
25.69472 117.8851 241.5975
49.09373 145.0794 244.3554
70.66102 174.1294 244.5009
90.15537 203.4761 239.8388
107.7738 230.4681 228.2934
123.2994 252.6505 208.236
134.7397 267.5981 179.9521
140.9454 272.7234 145.9804
138.7717 269.2895 108.7351
129.6024 261.4959 71.52544
155.3497 281.2449 56.26761
176.0941 299.3499 37.01801
190.8889 312.2252 12.29502
201.8417 319.1542 -15.69803
210.1432 320.0462 -45.0962
216.1268 315.318 -74.27509
219.6795 305.6323 -102.1082
220.5605 290.7953 -127.4723
218.8527 270.797 -149.1428
214.3114 246.5355 -166.6584
206.5405 219.8608 -181.2396
195.0077 193.7647 -197.0092
183.598 170.4611 -215.9847
163.7001 145.331 -231.9217
142.2058 119.2128 -247.511
119.8347 91.75714 -257.0749
96.5646 64.67769 -262.4123
72.06675 38.18844 -262.4552
45.91766 13.57439 -257.1986
20.47551 -7.213037 -248.8694
-2.194876 -22.80219 -238.8558
-15.05137 -39.29688 -247.9184
-21.02882 -56.50644 -257.9001
-20.7377 -77.16178 -263.1866
-3.736032 -104.9533 -277.2851
16.9273 -134.9709 -288.5561
38.02496 -165.2311 -292.9776
